Project,Section,Notes,Start Date,End Date,Color
Mason City Hwy 65,Iowa,,04/13/2026,08/15/2026,blue
Mason City Hwy 122,Iowa,,,,blue
Osage ADA Project,Iowa,20 - no rain,04/27/2026,06/20/2026,green
Ventura Trail,Iowa,"5,484 sy",,,green
Hardin Hwy 65 O.L.,Iowa,9 no rain,,,blue
Mitchell Boat Ramps,Iowa,,,,
West Union Linden St,Iowa,,,,
Nobles County MN 150,Minnesota,"1,700 sy",,,orange
Luverne MN TH 75,Minnesota,"40, 37,000 st",,,orange
Clayton Hwy 76-2026,Minnesota,,,,orange
Worthington 2026,Minnesota,"4,396 sy, 2,470 LF CSG, walls",,,orange
